target,source,School ,Rank,Wins,RPI Rank,Opp PPG,BPI Rank,PPG,Last 12 Wins,MOV,SOS,,Team,RANK,DATE,SITE,OPPONENT,SCORE
,,,,,,,,,,,,,Oregon,99,Feb. 18,Home,Colorado,101-73
,,,,,,,,,,,,,Oregon,100,Jan. 21,Home,Stanford,69-52
,,,,,,,,,,,,,Oregon,100,Feb. 25,Away,Stanford,75-73
,,,,,,,,,,,,,Oregon,119,Nov. 23,Neutral,Connecticut,79-69
,,,,,,,,,,,,,Oregon,124,Feb. 2,Home,Arizona State,71-70
,,,,,,,,,,,,,Oregon,124,Mar. 9,Neutral,Arizona State,80-57
,,,,,,,,,,,,,Oregon,163,Jan. 7,Away,Washington State,85-66
,,,,,,,,,,,,,Oregon,210,Jan. 4,Away,Washington,83-61
,,,,,,,,,,,,,Oregon,221,Dec. 13,Home,Montana,81-67
,,,,,,,,,,,,,Oregon,241,Dec. 17,Neutral,UNLV,83-63
,,,,,,,,,,,,,Oregon,267,Nov. 11,Home,Army West Point,91-77
,,,,,,,,,,,,,Oregon,279,Dec. 3,Home,Savannah State,128-59
,,,,,,,,,,,,,Oregon,281,Jan. 14,Home,Oregon State,85-43
,,,,,,,,,,,,,Oregon,281,Mar. 4,Away,Oregon State,80-59
,,,,,,,,,,,,,Oregon,2,Mar. 11,Neutral,Arizona,80-83
,,,,,,,,,,,,,Oregon,11,Nov. 15,Away,Baylor,49-66
,,,,,,,,,,,,,Oregon,16,Feb. 9,Away,UCLA,79-82
,,,,,,,,,,,,,Oregon,99,Jan. 28,Away,Colorado,65-74
,,,,,,,,,,,,,Oregon,107,Nov. 21,Neutral,Georgetown,61-65
,,,,,,,,,,,,,Florida,4,Feb. 4,Home,Kentucky,88-66
,,,,,,,,,,,,,Florida,28,Dec. 29,Away,Arkansas,81-72
,,,,,,,,,,,,,Florida,28,Mar. 1,Home,Arkansas,78-65
,,,,,,,,,,,,,Florida,42,Nov. 27,Neutral,Miami (Fla.),65-56
,,,,,,,,,,,,,Florida,43,Feb. 21,Home,South Carolina,81-66
,,,,,,,,,,,,,Florida,44,Nov. 24,Neutral,Seton Hall,81-76
,,,,,,,,,,,,,Florida,52,Jan. 14,Home,Georgia,80-76
,,,,,,,,,,,,,Florida,52,Feb. 7,Away,Georgia,72-60
,,,,,,,,,,,,,Florida,60,Nov. 21,Neutral,Belmont,78-61
,,,,,,,,,,,,,Florida,77,Jan. 3,Home,Ole Miss,70-63
,,,,,,,,,,,,,Florida,78,Jan. 10,Away,Alabama,80-67
,,,,,,,,,,,,,Florida,82,Jan. 7,Home,Tennessee,83-70
,,,,,,,,,,,,,Florida,85,Nov. 11,Neutral,Florida Gulf Coast,80-59
,,,,,,,,,,,,,Florida,91,Nov. 17,Neutral,St. Bonaventure,73-66
,,,,,,,,,,,,,Florida,93,Feb. 11,Home,Texas A&M,71-62
,,,,,,,,,,,,,Florida,113,Feb. 14,Away,Auburn,114-95
,,,,,,,,,,,,,Florida,149,Feb. 18,Away,Mississippi State,57-52
,,,,,,,,,,,,,Florida,171,Jan. 28,Away,Oklahoma,84-52
,,,,,,,,,,,,,Florida,192,Nov. 13,Neutral,Mercer,76-54
,,,,,,,,,,,,,Florida,194,Jan. 25,Away,LSU,106-71
,,,,,,,,,,,,,Florida,217,Dec. 1,Away,North Florida,91-60
,,,,,,,,,,,,,Florida,243,Dec. 17,Neutral,Charlotte,87-46
,,,,,,,,,,,,,Florida,244,Dec. 21,Home,Little Rock,94-71
,,,,,,,,,,,,,Florida,255,Feb. 2,Home,Missouri,93-54
,,,,,,,,,,,,,Florida,4,Feb. 25,Away,Kentucky,66-76
,,,,,,,,,,,,,Florida,6,Dec. 6,Neutral,Duke,74-84
,,,,,,,,,,,,,Florida,8,Nov. 25,Neutral,Gonzaga,72-77
,,,,,,,,,,,,,Florida,14,Dec. 11,Away,Florida State,78-83
,,,,,,,,,,,,,Florida,38,Jan. 21,Home,Vanderbilt,66-68
,,,,,,,,,,,,,Florida,38,Mar. 4,Away,Vanderbilt,71-73
,,,,,,,,,,,,,Florida,38,Mar. 10,Neutral,Vanderbilt,62-72
,,,,,,,,,,,,,Florida,43,Jan. 18,Away,South Carolina,53-57
,,,,,,,,,,,,,Baylor,7,Nov. 25,Neutral,Louisville,66-63
,,,,,,,,,,,,,Baylor,9,Nov. 15,Home,Oregon,66-49
,,,,,,,,,,,,,Baylor,21,Jan. 4,Home,Iowa State,65-63
,,,,,,,,,,,,,Baylor,22,Nov. 23,Neutral,VCU,71-63
,,,,,,,,,,,,,Baylor,24,Feb. 27,Home,West Virginia,71-62
,,,,,,,,,,,,,Baylor,37,Dec. 3,Home,Xavier,76-61
,,,,,,,,,,,,,Baylor,40,Jan. 7,Home,Oklahoma State,61-57
,,,,,,,,,,,,,Baylor,40,Feb. 8,Away,Oklahoma State,72-69
,,,,,,,,,,,,,Baylor,50,Nov. 24,Neutral,Michigan State,73-58
,,,,,,,,,,,,,Baylor,57,Jan. 14,Away,Kansas State,77-68
,,,,,,,,,,,,,Baylor,67,Jan. 21,Away,TCU,62-53
,,,,,,,,,,,,,Baylor,67,Feb. 11,Home,TCU,70-52
,,,,,,,,,,,,,Baylor,77,Jan. 28,Away,Ole Miss,78-75
,,,,,,,,,,,,,Baylor,85,Nov. 18,Home,Florida Gulf Coast,81-72
,,,,,,,,,,,,,Baylor,105,Dec. 21,Home,Texas Southern,89-63
,,,,,,,,,,,,,Baylor,123,Jan. 25,Home,Texas Tech,65-61
,,,,,,,,,,,,,Baylor,157,Jan. 17,Home,Texas,74-64
,,,,,,,,,,,,,Baylor,157,Mar. 4,Away,Texas,75-64
,,,,,,,,,,,,,Baylor,171,Dec. 30,Away,Oklahoma,76-50
,,,,,,,,,,,,,Baylor,171,Feb. 21,Home,Oklahoma,60-54
,,,,,,,,,,,,,Baylor,195,Nov. 30,Home,Sam Houston State,79-45
,,,,,,,,,,,,,Baylor,292,Nov. 11,Home,Oral Roberts,76-61
,,,,,,,,,,,,,Baylor,320,Dec. 14,Home,Southern,89-59
,,,,,,,,,,,,,Baylor,322,Dec. 17,Neutral,Jackson State,82-57
,,,,,,,,,,,,,Baylor,3,Feb. 1,Away,Kansas,68-73
,,,,,,,,,,,,,Baylor,3,Feb. 18,Home,Kansas,65-67
,,,,,,,,,,,,,Baylor,21,Feb. 25,Away,Iowa State,69-72
,,,,,,,,,,,,,Baylor,24,Jan. 10,Away,West Virginia,68-89
,,,,,,,,,,,,,Baylor,57,Feb. 4,Home,Kansas State,54-56
,,,,,,,,,,,,,Baylor,57,Mar. 9,Neutral,Kansas State,64-70
,,,,,,,,,,,,,Baylor,123,Feb. 13,Away,Texas Tech,78-84
